station_id,station_name,station_latitude,station_longitude
72,W 52 St & 11 Ave,40.76727216,-73.99392888
79,Franklin St & W Broadway,40.71911552,-74.00666661
82,St James Pl & Pearl St,40.71117416,-74.00016545
83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328
116,W 17 St & 8 Ave,40.74177603,-74.00149746
119,Park Ave & St Edwards St,40.69608941,-73.97803415
120,Lexington Ave & Classon Ave,40.68676793,-73.95928168
127,Barrow St & Hudson St,40.73172428,-74.00674436
128,MacDougal St & Prince St,40.72710258,-74.00297088
137,E 56 St & Madison Ave,40.761628,-73.972924
143,Clinton St & Joralemon St,40.69239502,-73.99337909
144,Nassau St & Navy St,40.69839895,-73.98068914
146,Hudson St & Reade St,40.71625008,-74.0091059
147,Greenwich St & Warren St,40.71542197,-74.01121978
150,E 2 St & Avenue C,40.7208736,-73.98085795
151,Cleveland Pl & Spring St,40.7218158,-73.99720307
151,Cleveland Pl & Spring St,40.722103786686034,-73.997249007225037
152,Warren St & Church St,40.71473993,-74.00910627
153,E 40 St & 5 Ave,40.75206231,-73.9816324
153,E 40 St & 5 Ave,40.752062307,-73.9816324043
157,Henry St & Atlantic Ave,40.69089272,-73.99612349
160,E 37 St & Lexington Ave,40.44535,-73.978238
160,E 37 St & Lexington Ave,40.748238,-73.978311
161,LaGuardia Pl & W 3 St,40.72917025,-73.99810231
164,E 47 St & 2 Ave,40.75323098,-73.97032517
167,E 39 St & 3 Ave,40.7489006,-73.97604882
168,W 18 St & 6 Ave,40.73971301,-73.99456405
173,Broadway & W 49 St,40.76064679,-73.98442659
173,Broadway & W 49 St,40.76068327096592,-73.9845272898674
174,E 25 St & 1 Ave,40.7381765,-73.97738662
195,Liberty St & Broadway,40.70905623,-74.01043382
212,W 16 St & The High Line,40.74334935,-74.00681753
216,Columbia Heights & Cranberry St,40.70037867,-73.99548059
217,Old Fulton St,40.70277159,-73.99383605
218,Gallatin Pl & Livingston St,40.69028437,-73.98707105
223,W 13 St & 7 Ave,40.73781509,-73.99994661
224,Spruce St & Nassau St,40.71146364,-74.00552427
225,W 14 St & The High Line,40.74195138,-74.00803013
228,E 48 St & 3 Ave,40.7546011,-73.97187886
228,E 48 St & 3 Ave,40.7546011026,-73.971878855
229,Great Jones St,40.72743423,-73.99379025
232,Cadman Plaza E & Tillary St,40.69597683,-73.99014892
233,Cadman Plaza W & Pierrepont St,40.694757013638771,-73.990527391433716
233,Joralemon St & Adams St,40.69246277,-73.98963911
233,Cadman Plaza W & Pierrepont St,40.69475701,-73.99052739
236,St Marks Pl & 2 Ave,40.7284186,-73.98713956
237,E 11 St & 2 Ave,40.73047309,-73.98672378
238,Bank St & Washington St,40.7361967,-74.00859207
